date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:11:42	8855/8855	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2007%20Mar%202019%2022:42:25%20GMT	https://calendly.com/assets/external/widget.js	D:/Work/Stella/temp/2/calendly.com/assets/external/widget.js	(from https://www.parsehub.com/)
05:11:42	21797/21797	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202019%2002:11:42%20GMT	https://www.parsehub.com/terms	D:/Work/Stella/temp/2/www.parsehub.com/terms.html	(from https://www.parsehub.com/)
05:11:42	27070/27070	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202019%2002:11:42%20GMT	https://www.parsehub.com/web-scraping-for-developers	D:/Work/Stella/temp/2/www.parsehub.com/web-scraping-for-developers.html	(from https://www.parsehub.com/)
05:11:43	16392/16392	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202019%2002:11:42%20GMT	https://www.parsehub.com/web-scraping-for-data-science	D:/Work/Stella/temp/2/www.parsehub.com/web-scraping-for-data-science.html	(from https://www.parsehub.com/)
05:11:43	20290/20290	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/fonts/glyphicons-halflings-regular.eot	D:/Work/Stella/temp/2/www.parsehub.com/static/fonts/glyphicons-halflings-regular.eot	(from https://www.parsehub.com/static/css/main.css)
05:11:43	20290/20290	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/fonts/glyphicons-halflings-regular.eot?	D:/Work/Stella/temp/2/www.parsehub.com/static/fonts/glyphicons-halflings-regulard41d.eot	(from https://www.parsehub.com/static/css/main.css)
05:11:43	23292/23292	---M--	200	added ('OK')	application/font-woff	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/fonts/glyphicons-halflings-regular.woff	D:/Work/Stella/temp/2/www.parsehub.com/static/fonts/glyphicons-halflings-regular.woff	(from https://www.parsehub.com/static/css/main.css)
05:11:43	41236/41236	---M--	200	added ('OK')	application/font-sfnt	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/fonts/glyphicons-halflings-regular.ttf	D:/Work/Stella/temp/2/www.parsehub.com/static/fonts/glyphicons-halflings-regular.ttf	(from https://www.parsehub.com/static/css/main.css)
05:11:44	62850/62850	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/fonts/glyphicons-halflings-regular.svg	D:/Work/Stella/temp/2/www.parsehub.com/static/fonts/glyphicons-halflings-regular.svg	(from https://www.parsehub.com/static/css/main.css)
05:11:44	70807/70807	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/fonts/fontawesome-webfont.eot?v=4.5.0	D:/Work/Stella/temp/2/www.parsehub.com/static/fonts/fontawesome-webfont3295.eot	(from https://www.parsehub.com/static/css/main.css)
05:11:44	70807/70807	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/fonts/fontawesome-webfont.eot?	D:/Work/Stella/temp/2/www.parsehub.com/static/fonts/fontawesome-webfontd41d.eot	(from https://www.parsehub.com/static/css/main.css)
05:11:44	83588/83588	---M--	200	added ('OK')	application/font-woff	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/fonts/fontawesome-webfont.woff?v=4.5.0	D:/Work/Stella/temp/2/www.parsehub.com/static/fonts/fontawesome-webfont3295.woff	(from https://www.parsehub.com/static/css/main.css)
05:11:44	66624/66624	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/fonts/fontawesome-webfont.woff2?v=4.5.0	D:/Work/Stella/temp/2/www.parsehub.com/static/fonts/fontawesome-webfont3295.woff2	(from https://www.parsehub.com/static/css/main.css)
05:11:45	142072/142072	---M--	200	added ('OK')	application/font-sfnt	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/fonts/fontawesome-webfont.ttf?v=4.5.0	D:/Work/Stella/temp/2/www.parsehub.com/static/fonts/fontawesome-webfont3295.ttf	(from https://www.parsehub.com/static/css/main.css)
05:11:45	365616/365616	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/fonts/fontawesome-webfont.svg?v=4.5.0	D:/Work/Stella/temp/2/www.parsehub.com/static/fonts/fontawesome-webfont3295.svg	(from https://www.parsehub.com/static/css/main.css)
05:11:45	6317/6317	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/parsehub_logo3.svg	D:/Work/Stella/temp/2/www.parsehub.com/static/images/parsehub_logo3.svg	(from https://www.parsehub.com/static/css/main.css)
05:11:45	9232/9232	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/parsehub_logo2.svg	D:/Work/Stella/temp/2/www.parsehub.com/static/images/parsehub_logo2.svg	(from https://www.parsehub.com/static/css/main.css)
05:11:46	184439/184439	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/data.jpeg	D:/Work/Stella/temp/2/www.parsehub.com/static/images/data.jpg	(from https://www.parsehub.com/static/css/main.css)
05:11:46	442960/442960	---M--	200	added ('OK')	application/font-sfnt	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/fonts/PT_Sans.ttf	D:/Work/Stella/temp/2/www.parsehub.com/static/fonts/PT_Sans.ttf	(from https://www.parsehub.com/static/css/main.css)
05:11:47	21571/21571	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/analysts-consultants-v3.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/analysts-consultants-v3.png	(from https://www.parsehub.com/features)
05:11:47	586648/586648	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/howitworks2.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/howitworks2.png	(from https://www.parsehub.com/features)
05:11:47	52742/52742	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2018:47:15%20GMT	https://www.parsehub.com/static/images/text-comments-icon-v2.png	D:/Work/Stella/temp/2/www.parsehub.com/static/images/text-comments-icon-v2.png	(from https://www.parsehub.com/features)
